# JMH 1.13 (released 34 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConvertorComplexConvert.baseline

# Run progress: 0.00% complete, ETA 00:20:50
# Fork: 1 of 1
# Warmup Iteration   1: ≈ 10⁻⁶ ms/op
# Warmup Iteration   2: ≈ 10⁻⁶ ms/op
# Warmup Iteration   3: ≈ 10⁻⁶ ms/op
# Warmup Iteration   4: ≈ 10⁻⁶ ms/op
# Warmup Iteration   5: ≈ 10⁻⁶ ms/op
# Warmup Iteration   6: ≈ 10⁻⁶ ms/op
# Warmup Iteration   7: ≈ 10⁻⁶ ms/op
# Warmup Iteration   8: ≈ 10⁻⁶ ms/op
# Warmup Iteration   9: ≈ 10⁻⁶ ms/op
# Warmup Iteration  10: ≈ 10⁻⁶ ms/op
# Warmup Iteration  11: ≈ 10⁻⁶ ms/op
# Warmup Iteration  12: ≈ 10⁻⁶ ms/op
# Warmup Iteration  13: ≈ 10⁻⁶ ms/op
# Warmup Iteration  14: ≈ 10⁻⁶ ms/op
# Warmup Iteration  15: ≈ 10⁻⁶ ms/op
# Warmup Iteration  16: ≈ 10⁻⁶ ms/op
# Warmup Iteration  17: ≈ 10⁻⁶ ms/op
# Warmup Iteration  18: ≈ 10⁻⁶ ms/op
# Warmup Iteration  19: ≈ 10⁻⁶ ms/op
# Warmup Iteration  20: ≈ 10⁻⁶ ms/op
# Warmup Iteration  21: ≈ 10⁻⁶ ms/op
# Warmup Iteration  22: ≈ 10⁻⁶ ms/op
# Warmup Iteration  23: ≈ 10⁻⁶ ms/op
# Warmup Iteration  24: ≈ 10⁻⁶ ms/op
# Warmup Iteration  25: ≈ 10⁻⁶ ms/op
Iteration   1: ≈ 10⁻⁶ ms/op
Iteration   2: ≈ 10⁻⁶ ms/op
Iteration   3: ≈ 10⁻⁶ ms/op
Iteration   4: ≈ 10⁻⁶ ms/op
Iteration   5: ≈ 10⁻⁶ ms/op
Iteration   6: ≈ 10⁻⁶ ms/op
Iteration   7: ≈ 10⁻⁶ ms/op
Iteration   8: ≈ 10⁻⁶ ms/op
Iteration   9: ≈ 10⁻⁶ ms/op
Iteration  10: ≈ 10⁻⁶ ms/op
Iteration  11: ≈ 10⁻⁶ ms/op
Iteration  12: ≈ 10⁻⁶ ms/op
Iteration  13: ≈ 10⁻⁶ ms/op
Iteration  14: ≈ 10⁻⁶ ms/op
Iteration  15: ≈ 10⁻⁶ ms/op
Iteration  16: ≈ 10⁻⁶ ms/op
Iteration  17: ≈ 10⁻⁶ ms/op
Iteration  18: ≈ 10⁻⁶ ms/op
Iteration  19: ≈ 10⁻⁶ ms/op
Iteration  20: ≈ 10⁻⁶ ms/op
Iteration  21: ≈ 10⁻⁶ ms/op
Iteration  22: ≈ 10⁻⁶ ms/op
Iteration  23: ≈ 10⁻⁶ ms/op
Iteration  24: ≈ 10⁻⁶ ms/op
Iteration  25: ≈ 10⁻⁶ ms/op
Iteration  26: ≈ 10⁻⁶ ms/op
Iteration  27: ≈ 10⁻⁶ ms/op
Iteration  28: ≈ 10⁻⁶ ms/op
Iteration  29: ≈ 10⁻⁶ ms/op
Iteration  30: ≈ 10⁻⁶ ms/op
Iteration  31: ≈ 10⁻⁶ ms/op
Iteration  32: ≈ 10⁻⁶ ms/op
Iteration  33: ≈ 10⁻⁶ ms/op
Iteration  34: ≈ 10⁻⁶ ms/op
Iteration  35: ≈ 10⁻⁶ ms/op
Iteration  36: ≈ 10⁻⁶ ms/op
Iteration  37: ≈ 10⁻⁶ ms/op
Iteration  38: ≈ 10⁻⁶ ms/op
Iteration  39: ≈ 10⁻⁶ ms/op
Iteration  40: ≈ 10⁻⁶ ms/op
Iteration  41: ≈ 10⁻⁶ ms/op
Iteration  42: ≈ 10⁻⁶ ms/op
Iteration  43: ≈ 10⁻⁶ ms/op
Iteration  44: ≈ 10⁻⁶ ms/op
Iteration  45: ≈ 10⁻⁶ ms/op
Iteration  46: ≈ 10⁻⁶ ms/op
Iteration  47: ≈ 10⁻⁶ ms/op
Iteration  48: ≈ 10⁻⁶ ms/op
Iteration  49: ≈ 10⁻⁶ ms/op
Iteration  50: ≈ 10⁻⁶ ms/op
Iteration  51: ≈ 10⁻⁶ ms/op
Iteration  52: ≈ 10⁻⁶ ms/op
Iteration  53: ≈ 10⁻⁶ ms/op
Iteration  54: ≈ 10⁻⁶ ms/op
Iteration  55: ≈ 10⁻⁶ ms/op
Iteration  56: ≈ 10⁻⁶ ms/op
Iteration  57: ≈ 10⁻⁶ ms/op
Iteration  58: ≈ 10⁻⁶ ms/op
Iteration  59: ≈ 10⁻⁶ ms/op
Iteration  60: ≈ 10⁻⁶ ms/op
Iteration  61: ≈ 10⁻⁶ ms/op
Iteration  62: ≈ 10⁻⁶ ms/op
Iteration  63: ≈ 10⁻⁶ ms/op
Iteration  64: ≈ 10⁻⁶ ms/op
Iteration  65: ≈ 10⁻⁶ ms/op
Iteration  66: ≈ 10⁻⁶ ms/op
Iteration  67: ≈ 10⁻⁶ ms/op
Iteration  68: ≈ 10⁻⁶ ms/op
Iteration  69: ≈ 10⁻⁶ ms/op
Iteration  70: ≈ 10⁻⁶ ms/op
Iteration  71: ≈ 10⁻⁶ ms/op
Iteration  72: ≈ 10⁻⁶ ms/op
Iteration  73: ≈ 10⁻⁶ ms/op
Iteration  74: ≈ 10⁻⁶ ms/op
Iteration  75: ≈ 10⁻⁶ ms/op
Iteration  76: ≈ 10⁻⁶ ms/op
Iteration  77: ≈ 10⁻⁶ ms/op
Iteration  78: ≈ 10⁻⁶ ms/op
Iteration  79: ≈ 10⁻⁶ ms/op
Iteration  80: ≈ 10⁻⁶ ms/op
Iteration  81: ≈ 10⁻⁶ ms/op
Iteration  82: ≈ 10⁻⁶ ms/op
Iteration  83: ≈ 10⁻⁶ ms/op
Iteration  84: ≈ 10⁻⁶ ms/op
Iteration  85: ≈ 10⁻⁶ ms/op
Iteration  86: ≈ 10⁻⁶ ms/op
Iteration  87: ≈ 10⁻⁶ ms/op
Iteration  88: ≈ 10⁻⁶ ms/op
Iteration  89: ≈ 10⁻⁶ ms/op
Iteration  90: ≈ 10⁻⁶ ms/op
Iteration  91: ≈ 10⁻⁶ ms/op
Iteration  92: ≈ 10⁻⁶ ms/op
Iteration  93: ≈ 10⁻⁶ ms/op
Iteration  94: ≈ 10⁻⁶ ms/op
Iteration  95: ≈ 10⁻⁶ ms/op
Iteration  96: ≈ 10⁻⁶ ms/op
Iteration  97: ≈ 10⁻⁶ ms/op
Iteration  98: ≈ 10⁻⁶ ms/op
Iteration  99: ≈ 10⁻⁶ ms/op
Iteration 100: ≈ 10⁻⁶ ms/op


Result "baseline":
  ≈ 10⁻⁶ ms/op


# JMH 1.13 (released 34 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConvertorComplexConvert.forEach

# Run progress: 10.00% complete, ETA 00:18:49
# Fork: 1 of 1
# Warmup Iteration   1: 14.547 ms/op
# Warmup Iteration   2: 12.121 ms/op
# Warmup Iteration   3: 11.585 ms/op
# Warmup Iteration   4: 11.640 ms/op
# Warmup Iteration   5: 11.599 ms/op
# Warmup Iteration   6: 11.567 ms/op
# Warmup Iteration   7: 13.174 ms/op
# Warmup Iteration   8: 12.091 ms/op
# Warmup Iteration   9: 11.689 ms/op
# Warmup Iteration  10: 11.579 ms/op
# Warmup Iteration  11: 11.586 ms/op
# Warmup Iteration  12: 11.692 ms/op
# Warmup Iteration  13: 11.778 ms/op
# Warmup Iteration  14: 11.579 ms/op
# Warmup Iteration  15: 11.613 ms/op
# Warmup Iteration  16: 11.511 ms/op
# Warmup Iteration  17: 11.617 ms/op
# Warmup Iteration  18: 11.663 ms/op
# Warmup Iteration  19: 11.677 ms/op
# Warmup Iteration  20: 11.722 ms/op
# Warmup Iteration  21: 11.619 ms/op
# Warmup Iteration  22: 11.721 ms/op
# Warmup Iteration  23: 11.718 ms/op
# Warmup Iteration  24: 11.677 ms/op
# Warmup Iteration  25: 11.592 ms/op
Iteration   1: 11.703 ms/op
Iteration   2: 11.612 ms/op
Iteration   3: 11.577 ms/op
Iteration   4: 11.581 ms/op
Iteration   5: 11.599 ms/op
Iteration   6: 11.651 ms/op
Iteration   7: 11.602 ms/op
Iteration   8: 11.540 ms/op
Iteration   9: 11.544 ms/op
Iteration  10: 11.580 ms/op
Iteration  11: 11.532 ms/op
Iteration  12: 11.542 ms/op
Iteration  13: 11.542 ms/op
Iteration  14: 11.750 ms/op
Iteration  15: 11.571 ms/op
Iteration  16: 11.589 ms/op
Iteration  17: 11.647 ms/op
Iteration  18: 11.650 ms/op
Iteration  19: 11.683 ms/op
Iteration  20: 11.546 ms/op
Iteration  21: 11.586 ms/op
Iteration  22: 11.600 ms/op
Iteration  23: 11.583 ms/op
Iteration  24: 11.580 ms/op
Iteration  25: 11.655 ms/op
Iteration  26: 11.691 ms/op
Iteration  27: 11.603 ms/op
Iteration  28: 11.633 ms/op
Iteration  29: 11.692 ms/op
Iteration  30: 11.656 ms/op
Iteration  31: 11.637 ms/op
Iteration  32: 11.575 ms/op
Iteration  33: 12.107 ms/op
Iteration  34: 11.752 ms/op
Iteration  35: 11.505 ms/op
Iteration  36: 11.496 ms/op
Iteration  37: 11.562 ms/op
Iteration  38: 11.587 ms/op
Iteration  39: 11.663 ms/op
Iteration  40: 11.670 ms/op
Iteration  41: 11.673 ms/op
Iteration  42: 11.617 ms/op
Iteration  43: 11.709 ms/op
Iteration  44: 11.567 ms/op
Iteration  45: 11.626 ms/op
Iteration  46: 11.600 ms/op
Iteration  47: 11.613 ms/op
Iteration  48: 11.620 ms/op
Iteration  49: 11.635 ms/op
Iteration  50: 11.577 ms/op
Iteration  51: 11.535 ms/op
Iteration  52: 11.556 ms/op
Iteration  53: 11.610 ms/op
Iteration  54: 11.553 ms/op
Iteration  55: 11.632 ms/op
Iteration  56: 11.596 ms/op
Iteration  57: 11.674 ms/op
Iteration  58: 11.725 ms/op
Iteration  59: 11.582 ms/op
Iteration  60: 11.661 ms/op
Iteration  61: 11.590 ms/op
Iteration  62: 11.806 ms/op
Iteration  63: 11.512 ms/op
Iteration  64: 11.552 ms/op
Iteration  65: 11.666 ms/op
Iteration  66: 11.579 ms/op
Iteration  67: 11.654 ms/op
Iteration  68: 11.595 ms/op
Iteration  69: 11.585 ms/op
Iteration  70: 11.589 ms/op
Iteration  71: 11.645 ms/op
Iteration  72: 11.582 ms/op
Iteration  73: 11.649 ms/op
Iteration  74: 11.623 ms/op
Iteration  75: 11.625 ms/op
Iteration  76: 11.568 ms/op
Iteration  77: 11.703 ms/op
Iteration  78: 11.635 ms/op
Iteration  79: 11.621 ms/op
Iteration  80: 11.803 ms/op
Iteration  81: 11.642 ms/op
Iteration  82: 11.650 ms/op
Iteration  83: 11.637 ms/op
Iteration  84: 12.107 ms/op
Iteration  85: 11.743 ms/op
Iteration  86: 11.630 ms/op
Iteration  87: 11.541 ms/op
Iteration  88: 11.664 ms/op
Iteration  89: 11.680 ms/op
Iteration  90: 11.612 ms/op
Iteration  91: 11.609 ms/op
Iteration  92: 11.616 ms/op
Iteration  93: 11.587 ms/op
Iteration  94: 11.684 ms/op
Iteration  95: 11.653 ms/op
Iteration  96: 11.540 ms/op
Iteration  97: 11.720 ms/op
Iteration  98: 11.592 ms/op
Iteration  99: 11.548 ms/op
Iteration 100: 11.610 ms/op


Result "forEach":
  11.629 ±(99.9%) 0.031 ms/op [Average]
  (min, avg, max) = (11.496, 11.629, 12.107), stdev = 0.092
  CI (99.9%): [11.598, 11.660] (assumes normal distribution)


# JMH 1.13 (released 34 days ago)
# VM version: JDK 1.8.0_91, VM 25.91-b14
# VM invoker: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java
# VM options: <none>
# Warmup: 25 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.espressoprogrammer.foodscomposition.jmh.KCalConvertorComplexConvert.forkJoinStream

# Run progress: 20.00% complete, ETA 00:16:47
# Fork: 1 of 1
# Warmup Iteration   1: 64.479 ms/op
# Warmup Iteration   2: 40.665 ms/op
# Warmup Iteration   3: 30.069 ms/op
# Warmup Iteration   4: 29.957 ms/op
# Warmup Iteration   5: 28.150 ms/op
# Warmup Iteration   6: 32.094 ms/op
# Warmup Iteration   7: 30.443 ms/op
# Warmup Iteration   8: 30.693 ms/op
# Warmup Iteration   9: 34.828 ms/op
# Warmup Iteration  10: 30.046 ms/op
# Warmup Iteration  11: 29.911 ms/op
# Warmup Iteration  12: 30.550 ms/op
